#Time_Logged	#Tx_Start	#Tone	#Lat	#Long	#Power	#Accuracy	#Mode
2024-03-14_15:43:37	2024-03-14_15:43:37	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_15:43:38	2024-03-14_15:43:38	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_15:43:39	2024-03-14_15:43:39	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_15:43:40	2024-03-14_15:43:40	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_15:43:41	2024-03-14_15:43:41	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_15:43:42	2024-03-14_15:43:42	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_15:43:43	2024-03-14_15:43:43	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_15:43:44	2024-03-14_15:43:44	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_15:43:45	2024-03-14_15:43:45	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_15:43:46	2024-03-14_15:43:46	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_15:43:47	2024-03-14_15:43:47	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_15:43:48	2024-03-14_15:43:48	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_15:43:49	2024-03-14_15:43:49	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_15:43:50	2024-03-14_15:43:50	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_15:43:51	2024-03-14_15:43:51	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_15:43:52	2024-03-14_15:43:52	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_15:43:53	2024-03-14_15:43:53	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_15:43:54	2024-03-14_15:43:54	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_15:43:55	2024-03-14_15:43:55	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_15:43:56	2024-03-14_15:43:56	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_15:43:57	2024-03-14_15:43:57	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_15:43:58	2024-03-14_15:43:58	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_15:43:59	2024-03-14_15:43:59	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_15:44:00	2024-03-14_15:44:00	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_15:44:01	2024-03-14_15:44:01	2 kHz	40.7128	-74.006	0	1.0	Passive
